Name,Disaster,Begin_Date,End_Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,State
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,7/8/93,7/10/93,0,0,IN
Midwest Flooding (Summer 1993),Flooding,6/27/93,8/15/93,44437.2,48,IL
Midwest Flooding (Summer 1993),Flooding,6/27/93,8/15/93,0,0,IA
Midwest Flooding (Summer 1993),Flooding,6/27/93,8/15/93,0,0,MO
Southeast Drought and Heat Wave (Summer 1993),Drought,6/1/93,8/31/93,2667,16,AL
Southeast Drought and Heat Wave (Summer 1993),Drought,6/1/93,8/31/93,0,0,FL
Southeast Drought and Heat Wave (Summer 1993),Drought,6/1/93,8/31/93,0,0,GA
Southeast Drought and Heat Wave (Summer 1993),Drought,6/1/93,8/31/93,0,0,MD
Southeast Drought and Heat Wave (Summer 1993),Drought,6/1/93,8/31/93,0,0,NC
Southeast Drought and Heat Wave (Summer 1993),Drought,6/1/93,8/31/93,0,0,SC
